User ID,Tasks,Task ID,Business Value,Urgency,Stakeholder Priority,Complexity,Effort Estimation,Rank,Priority Score
US06,Design an audit from UI SME,US06T4,5,4,5,3,3,3,6.5
US06,Reset environment to only take Staging MAX permissions,US06T5,5,5,5,3,4,2,7
US06,Only use zero-padded fields,US06T6,4,3,4,2,3,6,5.1
US07,Include a large number of flex fields without performance impact,US07T1,5,5,4,4,4,3,6.9
US07,Ensure deleted FSRS records are not included in submissions,US07T2,5,4,5,3,3,6,6.5
US07,Accept zero and blank for loan records in FABS validation rules,US07T3,4,3,4,2,2,16,5
US07,Ensure SAM data completeness,US07T4,5,5,5,3,3,4,6.9
US07,Accept zero and blank for non-loan records in FABS validation rules,US07T5,4,3,3,2,2,18,4.7
US07,Properly derive all data elements,US07T6,4,4,4,3,3,12,5.7
US07,Match maximum length of LegalEntityAddressLine3 to Schema v1.1,US07T7,4,3,3,2,2,19,4.7
US07,Use Schema v1.1 headers in FABS file,US07T8,5,3,4,3,3,11,5.8
US07,Map FederalActionObligation properly to Atom Feed,US07T9,5,4,4,3,4,7,6.3
US07,Keep FPDS data up-to-date daily,US07T10,4,5,5,4,4,5,6.7
US07,Show updated date AND time in the header information box,US07T11,4,3,4,2,2,17,5
US07,Provide helpful file-level error when wrong file extension is uploaded,US07T12,5,4,4,3,3,8,6.2
US07,Load all historical Financial Assistance data for FABS go-live,US07T13,5,5,5,4,4,1,7.2
US07,Load historical FPDS data,US07T14,5,5,5,4,4,2,7.2
US07,Display submission creator for clarity,US07T15,4,3,4,2,3,15,5.1
US07,Generate File F in correct format,US07T16,5,4,4,3,3,9,6.2
US07,Improve understanding of file-level errors,US07T17,4,4,4,3,3,13,5.7
US07,Allow ZIP submission without last 4 digits,US07T18,4,3,3,2,2,20,4.7
US07,Show submission period start and end dates,US07T19,4,4,4,3,3,14,5.7
US07,Provide landing page to navigate to FABS/DABS,US07T20,3,3,3,2,2,21,4.2
US07,Provide landing page to navigate to FABS/DABS,US07T21,5,4,4,2,2,10,5.9
US08,Access raw agency-published files from FABS via USAspending,US08T1,4,4,4,3,3,3,5.7
US08,Deactivate publish button in FABS while derivations happen,US08T2,3,4,4,2,2,8,4.9
US08,Show flexfields in warning/error files when missing required elements,US08T3,4,3,4,3,3,5,5.3
US08,Provide accurate and complete data for PPoPCode and CongressionalDistrict,US08T4,5,5,5,3,4,2,7
US08,Ensure NASA grants are not displayed as contracts,US08T5,4,4,4,3,3,4,5.7
US08,"Allow DUNS validations for ActionTypes B, C, D with registered SAM data",US08T6,4,3,4,3,3,6,5.3
US08,Allow DUNS validations for ActionDates in valid SAM registration range,US08T7,4,3,4,3,3,7,5.3
US08,Generate and validate D Files from FABS and FPDS data,US08T8,5,5,5,4,4,1,7.2
US08,Display row count before publishing,US08T9,3,4,3,3,3,9,4.9
US09,Update SQL codes for clarity,US09T1,3,3,3,2,2,3,4.2
US09,Add 00***** and 00FORGN PPoPCode cases to the derivation logic,US09T2,4,4,4,3,3,2,5.7
US09,"Update Broker resources, validations, and P&P pages for the launch of FABS and DAIMS v1.1",US09T3,5,5,5,4,4,1,7.2
US010,"Link the SAMPLE FILE in ""What you want to submit"" dialog to the correct file",US010T1,4,4,4,4,3,4,5.9
US010,Ensure submission errors accurately represent FABS errors,US010T2,5,5,5,5,3,2,7.3
US010,Make frontend URLs more accurate to reflect the correct page,US010T3,3,3,3,3,2,10,4.4
US010,Allow submission of citywide as a PPoPZIP and pass validations,US010T4,4,4,4,4,2,5,5.8
US010,Ensure historical data includes all necessary columns,US010T5,5,5,5,5,3,3,7.3
US010,Provide additional helpful info in the submission dashboard,US010T6,4,4,4,4,2,6,5.8
US010,Allow downloading the uploaded FABS file,US010T7,4,4,4,4,2,7,5.8
US010,Ensure language on FABS pages is appropriate for users,US010T8,3,3,3,3,2,11,4.4
US010,Prevent DABS banner messages from showing on FABS and vice versa,US010T9,3,3,3,3,1,12,4.3
US010,Provide read-only access to DABS to FABS users,US010T10,4,4,4,4,2,8,5.8
US010,Ensure validations run in a reasonable amount of time,US010T11,5,5,5,5,4,1,7.4
US010,Display correct status labels on the Submission Dashboard,US010T12,4,4,4,4,2,9,5.8
US011,Test access to features in non-Staging environments for validating nonProd features.,US011T1,4,3,3,3,3,2,5
US011,Verify FABS field derivation using a robust test file followed by a comprehensive check.,US011T2,5,5,5,5,5,1,7.5
US012,Integrate New Relic to provide useful data across all applications.,US012T1,5,4,4,4,4,1,6.5
US013,"Enable public users to search for information about properties, County services, processes, and general info",US013T1,5,3,4,3,3,1,5.8
US014,Enable prospective applicants to research requirements and select a service or application type through the portal.,US014T1,5,4,4,4,4,1,6.5
US015,"Request PreApplication Assistance, so I can receive a response to a meeting or information request.",US015T1,4,4,4,3,3,9,5.7
US015,"Submit Application, so I can provide my information to initiate a transaction.",US015T2,5,5,5,4,4,1,7.2
US015,"Submit Supporting Documentation, so I can satisfy documentation requirements.",US015T3,5,5,5,3,4,2,7
US015,"Pay Fee, so I can satisfy outstanding charges associated with the service.",US015T4,5,5,5,2,3,4,6.7
US015,"Check Status of Transaction, so I can understand the progress of my service request.",US015T5,4,4,4,3,3,10,5.7
US015,"Modify Application, so I can successfully change information on my application.",US015T6,4,4,4,4,4,6,6
US015,"Satisfy Hearing Requirements, so I can ensure all pre-hearing requirements are met in time.",US015T7,4,5,4,4,4,5,6.4
US015,"Request Plan Review Meeting, so I can meet with staff regarding the plan review.",US015T8,4,4,4,3,4,7,5.8
US015,"Resubmit Plans, so I can review revised plans.",US015T9,4,4,4,3,4,8,5.8
US015,"Complete Building Development Project, so I can receive posted bond or obtain occupancy.",US015T10,5,5,5,3,4,3,7
US016,"Track Plan Amendments and Planning Studies to record work, outcome, and location-based info",US016T1,5,4,4,4,5,2,6.6
US016,Generate Planning Reports for analysis and export in the requested format.,US016T2,5,4,4,3,4,3,6.3
US016,Evaluate Consistency with the Comprehensive Plan for required reviews.,US016T3,5,5,5,4,4,1,7.2
US017,Process Requests for Zoning Information to capture responses and send communication to the Applicant.,US017T1,5,4,4,3,3,2,6.2
US017,Issue Zoning-Related Permits to satisfy eligible and compliant Applicant requests.,US017T2,5,5,5,4,4,1,7.2
US018,Assign Plans for Review to ensure they are assigned to the appropriate Plan Reviewer.,US018T1,5,4,4,3,3,4,6.2
US018,"Manage Plan Reviewer Workload to monitor and adjust workload, ensuring service levels are met.",US018T2,5,5,5,4,4,1,7.2
US018,Conduct a Plan Review Meeting with the Applicant and record the outcome for future reference.,US018T3,4,4,4,4,4,5,6
US018,"Review Plans for compliance and approve, fail, or deny the plans, recording conditions, clearances, or corrections.",US018T4,5,5,5,4,4,2,7.2
US018,Review Code Modifications submitted by the Applicant and associate approved modifications with the project.,US018T5,4,4,4,4,4,6,6
US018,Track the Completion of Required Plan Reviews to ensure all tasks are completed and downstream steps are initiated.,US018T6,5,5,5,3,3,3,6.9
US019,Issue a Development-related Permit to grant the request for the Applicant to begin work.,US019T1,5,5,5,3,3,1,6.9
US020,Create an Inspection to schedule and assign it to the appropriate staff.,US020T1,5,4,4,3,3,1,6.2
US021,Assign Inspections to ensure the appropriate Inspector receives the work.,US021T1,5,5,5,3,3,2,6.9
US021,Manage Inspector Workload to meet service level and quality requirements.,US021T2,5,5,5,4,4,1,7.2
US022,Conduct Inspections to validate customer compliance with code and regulations and provide results to the customer.,US022T1,5,5,5,4,4,1,7.2
US023,Issue a Notice of Violation to provide formal communication to the responsible party.,US023T1,5,5,5,3,3,1,6.9
US024,Create a custom query/report outside of the common functionality to fulfill a specific request.,US024T1,5,4,4,4,4,1,6.5
US025,Update GIS Property Management to reference the GIS layer where the Split or Merged Parcel Pin exists.,US025T1,5,4,4,4,4,1,6.5
US026,Create a Customer Portal User Account to enable login and perform transactions that require user authentication.,US026T1,5,4,5,3,3,2,6.5
US026,Request an Inspection to have a County inspector assigned for my project.,US026T2,5,5,5,3,3,1,6.9
US027,Click on the address to open Google Maps in a new tab.,US027T1,4,3,4,2,2,20,5
US027,View public information anonymously before creating an account.,US027T2,5,3,4,2,2,19,5.5
US027,Enter a zip code and get a list of nearby recycling facilities.,US027T3,5,5,5,3,3,2,6.9
US027,Get the hours of each recycling facility.,US027T4,5,4,5,3,3,7,6.5
US027,Have a flexible pick-up time.,US027T5,4,4,4,3,3,16,5.7
US027,Select different types of recyclable waste and get a list of facilities that accept each type with hours.,US027T6,5,4,5,4,4,3,6.8
US027,Add donation centers as favorites for easy access later.,US027T7,4,3,4,2,2,21,5
US027,Provide email ID to receive notifications.,US027T8,4,3,4,2,2,22,5
US027,View a map display of public recycling bins.,US027T9,5,4,5,3,3,8,6.5
US027,View a map display of special waste drop-off sites.,US027T10,5,4,5,3,3,9,6.5
US027,View safe disposal events currently being organized in my area.,US027T11,5,4,5,3,3,10,6.5
US027,Choose a flexible pick-up time.,US027T12,4,4,4,3,3,17,5.7
US027,View user documentation for the website.,US027T13,4,3,4,2,2,23,5
US027,Get feedback when entering an invalid zip code.,US027T14,5,5,5,2,2,6,6.6
US027,Create an account to have a personal profile,US027T15,5,4,5,3,3,11,6.5
US027,Check transaction history and keep a record of it.,US027T16,4,4,4,3,3,18,5.7
US027,Have a great UI and UX experience.,US027T17,5,4,5,4,4,4,6.8
US027,Access the site on all electronic devices.,US027T18,5,4,5,3,3,12,6.5
US027,Receive rewards for using the website.,US027T19,5,3,5,3,3,15,6.1
US027,Have personal information securely stored in the website database.,US027T20,5,5,5,4,4,1,7.2
US027,View all recycling center locations on a map to plan drop-off routes.,US027T21,5,4,5,3,3,13,6.5
US027,Upload weekly schedule to get recommendations for recycling centers based on availability.,US027T22,5,4,5,4,4,5,6.8
US027,Link email account to profile for password recovery.,US027T23,4,3,4,2,2,24,5
US027,Contact administrators for feedback or help.,US027T24,4,3,4,2,2,25,5
US027,Browse facilities and see which ones are environmentally friendly.,US027T25,5,4,5,3,3,14,6.5
US028,Add or remove recycling facilities' information to ensure users get the most recent data.,US028T1,5,4,5,3,3,6,6.5
US028,Read users' feedback and complaints to improve service and add features.,US028T2,5,4,5,3,3,7,6.5
US028,Block specific users based on IP address to prevent spamming on the website.,US028T3,4,5,5,4,4,5,6.7
US028,View a dashboard that monitors all sites' statuses to understand user activity and service status.,US028T4,5,4,5,4,4,2,6.8
US028,Ensure all data is encrypted to prevent information theft during a server breach or attack.,US028T5,5,5,5,5,5,1,7.5
US028,Handle all users' activities to manage more efficiently.,US028T6,5,4,5,4,4,3,6.8
US028,Add recycling center information to keep the database up-to-date over time.,US028T7,5,4,5,3,3,8,6.5
US028,View user error logs to review and fix issues faced by users.,US028T8,5,4,5,3,3,9,6.5
US028,Onboard recycling centers on the platform to increase information accuracy.,US028T9,5,4,5,4,4,4,6.8
US028,View a dashboard with usage stats and locations to identify areas with the largest number of drop-offs,US028T10,5,4,5,3,3,10,6.5
US028,Communicate directly with recycling facilities to keep them updated on features and improvements.,US028T11,5,3,4,3,3,11,5.8
US029,Have full access to company data to understand the company's performance.,US029T1,5,4,5,4,4,1,6.8
US030,Access the route planning system during work to get guided through the neighborhood.,US029T2,4,4,4,3,3,3,5.7
US030,HR department employee access to full information of all employees working for this business.,US029T3,5,5,5,4,4,1,7.2
US030,Receive quick notifications to process cases efficiently the first time.,US029T4,4,5,4,3,3,2,6.1
US031,Access an API from the website to integrate and implement features in an iOS application.,US031T1,5,4,5,4,4,1,6.8
US031,Use Bootstrap in the development process for easier and efficient web design.,US031T2,4,3,4,3,3,2,5.3
US031,Attend UI/UX lessons to improve design skills and develop better-looking features.,US031T3,3,3,3,4,4,3,4.8
US032,Create an easy-to-use website with step-by-step upload and delete functionality,US032T1,5,4,5,3,3,1,6.5
US033,Provide functionality to view all available activity fees online for bill creation.,US033T1,5,5,5,3,3,1,6.9
US034,Allow superuser to update recycling center information.,US034T1,5,5,5,3,3,1,6.9
US034,"Enable superuser to view users' stats, including visits and recyclable waste details.",US034T2,5,4,5,4,4,2,6.8
US034,Provide functionality for superuser to reply to user questions,US034T3,4,4,4,3,3,3,5.7
US035,Allow recycling facility representatives to update their information and accepted materials.,US035T1,5,5,5,3,3,1,6.9
US035,Provide access to user stats and schedules to adjust hours and equipment capacity.,US035T2,5,4,4,4,4,2,6.5
US035,Enable direct communication between the facility and site admin to report issues or concerns.,US035T3,4,4,4,3,3,3,5.7
US036,Allow hiding any dataset already added as Public.,US036T1,5,5,5,3,3,1,6.9
US036,Provide a view of all datasets published by users for management actions.,US036T2,5,4,5,3,3,3,6.5
US036,Enable deletion of datasets to handle takedown requests or test data cleanup,US036T3,5,5,5,3,3,2,6.9
US036,Enable translation of data type hierarchies in Viewer for embed mode.,US036T4,4,4,4,4,4,4,6
US037,Enable editing of published datasets.,US037T1,5,5,5,3,3,5,6.9
US037,Allow editing of the data model for imported datasets.,US037T2,5,5,5,3,4,3,7
US037,Enable deletion of published datasets.,US037T3,5,5,5,2,3,8,6.7
US037,Allow editing of the data source for imported datasets,US037T4,5,5,5,3,4,4,7
US037,Add support for constants in the packager for modeling dimensions.,US037T5,4,4,4,3,3,14,5.7
US037,Allow importing data in Excel format.,US037T6,4,5,4,3,3,11,6.1
US037,Inform users about requirements for visualizing data on a map.,US037T7,4,4,4,2,2,17,5.4
US037,Allow importing data in JSON format.,US037T8,4,5,4,3,3,12,6.1
US037,Enable importing data from Google Spreadsheets.,US037T9,4,5,4,3,3,13,6.1
US037,Allow importing data from Fiscal Data Package descriptor files.,US037T10,4,4,4,3,3,15,5.7
US037,Enable providing GeoJSON sources to the Platform Administrator for improved visualization.,US037T11,4,4,4,3,3,16,5.7
US037,Enable automatic dataset updates when source files change,US037T12,5,5,5,4,4,1,7.2
US037,Allow adding datasets in a Hidden state for drafting purposes.,US037T13,5,5,5,2,3,9,6.7
US037,Enable hiding a dataset already added as Public.,US037T14,5,5,5,2,3,10,6.7
US037,Provide a view for users to manage their published datasets.,US037T15,5,5,5,3,3,6,6.9
US037,Provide a functioning Python Client for bulk dataset uploads.,US037T16,5,5,5,4,4,2,7.2
US037,Validate CSV files before publishing to identify data issues.,US037T17,5,5,5,3,3,7,6.9
US038,"Enable filtering, sorting, and aggregating data by multiple dimensions and measures.",US038T1,5,5,5,4,4,1,7.2
US038,Enable downloading CSVs of data used in visualizations.,US038T2,5,5,5,3,3,2,6.9
US038,Allow changing monetary measures across multiple currencies for localization.,US038T3,4,4,4,4,3,5,5.9
US038,Add textual descriptions to accompany embedded visualizations.,US038T4,4,4,4,3,3,6,5.7
US038,Allow sharing a view state as a URL to social networks,US038T5,4,4,4,3,3,7,5.7
US038,Enable downloading images of specific view states for offline use.,US038T6,4,5,4,3,3,4,6.1
US038,Allow sharing images of view states to social networks,US038T7,4,4,4,3,3,8,5.7
US038,Add stepped zoom for better control in map visualizations.,US038T8,4,4,4,3,3,9,5.7
US038,Ensure consistent use of colors in map visualizations for clarity,US038T9,4,4,4,3,2,11,5.6
US038,Enable searching datasets by title and metadata for public accessibility.,US038T10,5,5,5,3,3,3,6.9
US038,"Set default visualizations (treemap, bubble tree, map, pivot table) to the most recent year in datasets.",US038T11,4,4,4,3,3,10,5.7
US039,Identify if a user is a Publisher,US039T1,4,3,4,2,3,12,5.1
US039,Identify if a user is an Administrator,US039T2,5,4,5,3,4,5,6.6
US039,Retrieve bordering regions/cities for mapping context,US039T3,4,2,4,3,3,15,4.9
US039,Dynamically request polygons based on query,US039T4,5,5,5,4,5,1,7.3
US039,"API using HASC codes for countries, regions, and cities",US039T5,5,4,5,3,4,6,6.6
US039,Get CSV output for cube-based queries,US039T6,4,3,4,2,2,13,5
US039,Convert monetary measures into different currencies,US039T7,4,3,4,3,3,7,5.3
US039,Use metadata to access multiple datasets,US039T8,5,4,5,4,4,3,6.8
US039,Use data to get results from multiple datasets,US039T9,5,4,5,4,3,4,6.7
US039,Normalize measures by population,US039T10,4,3,4,3,3,8,5.3
US039,Normalize measures by geographical area,US039T11,4,3,4,3,3,9,5.3
US039,Normalize measures by GDP,US039T12,4,3,4,3,3,10,5.3
US039,Normalize measures by GINI and related socioeconomic indexes,US039T13,4,3,4,3,3,11,5.3
US039,Get relative percentage of a measure to the total dataset,US039T14,3,4,4,2,3,14,5
US039,Persistently store visualization state in the database,US039T15,5,5,5,4,4,2,7.2
US039,Change colors of embedded visualizations on my platform,US039T16,3,3,4,2,2,16,4.5
US039,Change some styling of embedded Viewer to match organizations color scheme,US039T17,3,3,4,2,2,17,4.5
US040,"Customize the Brand Name, Icon, and Primary Color of frontend JavaScript apps",US040T1,5,4,5,3,3,1,6.5
US041,Create a blog that highlights projects in the open fiscal space,US041T1,5,4,5,3,4,2,6.6
US041,Develop an app where users can find examples of fiscal data visualizations,US041T2,5,4,5,4,4,1,6.8
US042,Allow users to set their own username,US042T1,5,5,5,2,2,1,6.6
US043,Describe yourself on your own page in a semi-structured way,US043T1,3,2,3,2,2,14,3.8
US043,Fill out an application to become a Certified Scrum Practitioner,US043T2,5,3,5,3,3,3,6.1
US043,Fill out an application to become a Certified Scrum Trainer,US043T3,5,3,5,3,3,4,6.1
US043,View the profiles of other members,US043T4,4,2,4,2,2,12,4.6
US043,Search for profiles based on a few fields,US043T5,4,3,4,3,3,7,5.3
US043,Mark your profile as private,US043T6,5,5,5,2,2,1,6.6
US043,Mark your email address as private,US043T7,5,5,5,2,2,2,6.6
US043,Send an email to any member via a form,US043T8,3,3,3,3,3,13,4.5
US043,Subscribe to an RSS feed of news,US043T9,4,3,4,2,3,8,5.1
US043,Download the latest training material and methodology PDFs,US043T10,5,3,5,2,3,5,5.9
US043,Scroll through a listing of jobs,US043T11,4,2,4,2,3,11,4.7
US043,Subscribe to an RSS feed of jobs available,US043T12,4,3,4,2,3,9,5.1
US043,Read the entire article after reading a teaser,US043T13,4,3,4,2,2,10,5
US043,Have full access to all articles,US043T14,5,3,5,2,3,6,5.9
US044,Include additional details about me in my profile page,US044T1,4,2,4,3,3,2,4.9
US044,Write an article for the site with a small graphic showing my CSP or CST status,US044T2,5,3,5,3,3,1,6.1
US045,Include additional details in my profile page about me,US045T1,4,2,4,3,3,11,4.9
US045,List my upcoming classes in my profile and include a link to a detailed page about each,US045T2,5,3,5,3,3,3,6.1
US045,Create a new course or event,US045T3,5,3,5,4,4,2,6.4
US045,Create an Other Course or Event and be charged a listing fee for that activity,US045T4,4,3,4,4,4,6,5.6
US045,Update one of my existing courses or events,US045T5,4,2,4,3,3,12,4.9
US045,Delete one of my courses or events,US045T6,3,3,3,2,2,14,4.2
US045,Copy one of my courses or events,US045T7,4,3,4,3,3,8,5.3
US045,Turn a course into an event or an event into a course,US045T8,4,3,4,3,3,9,5.3
US045,Ensure the upcoming courses are what I want visitors to notice,US045T9,5,3,5,3,3,4,6.1
US045,Be assured that no one can submit the same answers multiple times and skew my results,US045T10,5,4,5,4,3,1,6.7
US045,Be notified about the results of surveys about my classes,US045T11,4,3,4,3,3,10,5.3
US045,Show my rating on my profile page,US045T12,5,3,5,2,2,5,5.8
US045,Load an Excel file into the site for course participant records,US045T13,4,3,4,4,3,7,5.5
US045,Read information relevant only to trainers,US045T14,3,2,4,3,3,13,4.4
US046,Read practicing and training applications and approve or reject them,US046T1,5,4,5,3,2,2,6.4
US046,Edit any site member profile,US046T2,4,3,4,2,3,5,5.1
US046,Create an Other Course or Event that is not charged a listing fee,US046T3,4,3,4,4,4,4,5.6
US046,Set the listing fee per Other Course or Event,US046T4,5,3,5,4,3,3,6.3
US046,"Set the annual fees for members, Practitioners and Trainers",US046T5,5,4,5,3,3,1,6.5
US047,Delete any course or event,US047T1,4,4,5,2,3,4,5.8
US047,Approve each help wanted ad before it gets to the site,US047T2,5,4,5,3,3,2,6.5
US047,Be emailed whenever a job is submitted,US047T3,4,3,4,2,2,8,5
US047,Edit and delete help wanted ads,US047T4,4,3,4,3,3,6,5.3
US047,Stop publishing jobs on the site 30 days after being posted,US047T5,5,3,4,3,3,5,5.8
US047,See the results for each trainer and averages for the class,US047T6,4,4,5,3,3,3,6
US047,View all classes in a pending state,US047T7,4,3,4,3,3,7,5.3
US047,Move people in a trainer's class from pending to the registry after proof of payment,US047T8,5,4,5,3,4,1,6.6
US048,"Set dates on news items (Start Publishing, Old News, Stop Publishing)",US048T1,5,4,4,3,3,7,6.2
US048,Assign priority numbers to news items,US048T2,4,3,4,3,2,14,5.2
US048,Update any course or event,US048T3,4,4,5,3,3,10,6
US048,Maintain a FAQ section,US048T4,4,3,4,2,2,15,5
US048,Include a teaser with each article,US048T5,4,3,4,3,3,13,5.3
US048,Add an article to the site,US048T6,5,4,5,3,3,1,6.5
US048,Set publishing dates for articles,US048T7,5,4,5,3,3,2,6.5
US048,Designate whether an article/event makes the home page,US048T8,4,4,4,3,3,12,5.7
US048,Control article visuals,US048T9,5,4,4,4,3,3,6.4
US048,Indicate whether an article is publicly available or for members only,US048T10,5,4,5,3,2,4,6.4
US048,Add a prominent area on the home page for special announcements,US048T11,5,4,4,4,3,5,6.4
US048,Have flexibility in content placement,US048T12,5,4,4,3,3,8,6.2
US048,"Create content for the ""What Is Scrum"" section",US048T13,5,4,4,4,3,6,6.4
US048,Edit email content for new Certified Scrum Masters and Product Owners,US048T14,5,4,4,3,2,9,6.1
US048,Post information in a trainers-only section,US048T15,4,3,4,2,2,16,5
US048,Include a teaser with each article,US048T16,4,4,5,3,3,11,6
US049,Post a help wanted ad to attract candidates,US049T1,5,5,5,3,3,1,6.9
US049,Extend an ad for another 30 days by updating the posting,US049T2,4,4,4,3,3,2,5.7
US050,Email reminder seven days before an ad expires to prompt extension,US050T1,4,5,5,3,3,1,6.4
US051,Name listed in the registry without becoming a member for verification,US051T1,4,4,4,3,3,3,5.7
US051,Welcome email with registration/activation instructions after name is added to the registry,US051T2,4,5,5,3,3,1,6.4
US051,Fee charged upon approval for Practitioner status to activate certification status,US051T3,3,5,4,4,4,2,5.9
US052,Display logo on a corporate sponsors page,US052T1,4,4,5,2,3,2,5.8
US052,Make logo randomly appear on the home page,US052T2,5,4,5,3,4,1,6.6
US053,Join the Scrum Alliance by paying a corporate membership fee,US053T1,5,5,5,3,3,1,6.9
US054,Pay an annual fee to keep CST status active,US054T1,5,4,5,2,3,1,6.3
US055,Receive a reminder and link to renew membership,US055T1,5,5,5,2,3,2,6.7
US055,System emails a new password or a reminder for password recovery,US055T2,5,5,5,3,4,1,7
US056,Read current news on the home page,US056T1,5,5,4,2,3,8,6.4
US056,Access old news no longer on the home page,US056T2,4,4,3,2,2,21,5.1
US056,Email news items to the editor,US056T3,3,3,3,3,3,25,4.5
US056,See a list of all upcoming Certification Courses,US056T4,5,5,5,4,4,1,7.2
US056,See a list of all upcoming Other Courses,US056T5,5,4,4,4,4,7,6.5
US056,See a list of all upcoming Events,US056T6,5,4,4,4,3,9,6.4
US056,Use advanced search options,US056T7,4,4,4,5,4,10,6.2
US056,View a course and click on the trainer's name to access their profile,US056T8,4,4,4,3,3,13,5.7
US056,Subscribe to an RSS feed of upcoming courses and events,US056T9,3,3,3,3,3,26,4.5
US056,Read FAQs,US056T10,4,4,3,2,2,22,5.1
US056,Perform a full-text search of FAQs,US056T11,4,4,3,3,3,18,5.4
US056,Read a new article on the front page about once a week,US056T12,4,4,3,3,3,19,5.4
US056,Click the link from an article teaser to go directly to the article body,US056T13,5,5,3,2,2,12,6
US056,Read some articles without needing to join the site,US056T14,4,3,5,3,3,17,5.6
US056,"Perform a full-text search of article body, title, and author name",US056T15,4,4,3,3,3,20,5.4
US056,Subscribe to an RSS feed of articles,US056T16,3,3,4,2,3,24,4.6
US056,Post comments about articles,US056T17,4,3,3,3,3,23,5
US056,See new content when visiting the site,US056T18,5,5,3,2,3,11,6.1
US056,Have articles that are interesting and easy to access,US056T19,5,5,5,3,3,2,6.9
US056,Know what Scrum is and why it needs an alliance upon visiting the site,US056T20,5,5,5,3,3,3,6.9
US056,Know what a CSM is and why its beneficial upon visiting the site,US056T21,5,5,5,3,3,4,6.9
US056,Get back to the home page quickly and easily,US056T22,5,5,5,2,2,6,6.6
US056,See a list of the most popular items on the site,US056T23,4,4,4,3,3,14,5.7
US056,See a trainer's rating,US056T24,4,4,4,3,3,15,5.7
US056,View a section that teaches the basics of Scrum,US056T25,5,5,5,3,3,5,6.9
US056,"View lists of all Certified Scrum Masters, Practitioners, Trainers, and Certified Product Owners",US056T26,4,4,4,3,3,16,5.7
US057,Get a Data Package into Julia in seconds,US057T1,5,5,5,3,3,3,6.9
US057,Save new visualizations to share or include in the Data Package,US057T2,5,4,5,3,4,13,6.6
